EC-Lab ASCII FILE
Nb header lines  58                          

Cyclic Voltammetry

Run on channel  3 (SN 35515)
User  
CE vs. WE compliance from -10 V to 10 V
Electrode connection  standard
Ewe ctrl range  min = -2.50 V, max = 2.50 V
Safety Limits 
	Do not start on E overload
Acquisition started on  03112020 151016
Technique started on  03112020 151016
Saved on 
	File  03112020_MnO2_RDE_50mVs_2500rpm_ExtendedBounds_120mL_counter_C04_C03.mpr
	Directory  CUsersCESLDocumentsEC-LabDataUndergradKatelynEChem20200311
	Host  169.254.217.189
Device  VSP (SN 1724172417241724)
Address  USB
EC-Lab for windows v11.16 (software)
Internet server v11.16 (firmware)
Command interpretor v11.16 (firmware)
Electrode material  AuPd
Initial state  
Electrolyte  NaCl (0.2M)
Comments  Fe(CN)63-Fe(CN)64- 5.10-3 M
Reference electrode  SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area  0.001 cm²
Characteristic mass  0.001 g
Equivalent Weight  0.000 geq.
Density  0.000 gcm3
Record Ece
Record Power
Cycle Definition  ChargeDischarge alternance
Ei (V)              -1.000              
vs.                 Ref                 
dEdt               50.000              
dEdt unit          mVs                
E1 (V)              1.200               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              -2.000              
vs.                 Ref                 
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              -1.000              
vs.                 Ref                 

mode	oxred	error	control changes	counter inc.	times	controlV	EweV	ImA	cycle number	(Q-Qo)C	EceV	PW	Ewe-EceV	
2	1	0	0	0	6.909999825438717E-001	-9.6248746E-001	-9.6282452E-001	-7.154884067131206E-002	1.000000000000000E+000	-5.4149368E-005	3.7485722E-001	6.8888978E-005	-1.3376818E+000
2	1	0	0	0	7.109999820386292E-001	-9.6148723E-001	-9.6182150E-001	-7.120666414266430E-002	1.000000000000000E+000	-5.5576253E-005	3.7828603E-001	6.8488102E-005	-1.3401076E+000
2	1	0	0	0	7.309999815333867E-001	-9.6048713E-001	-9.6085113E-001	-7.081145039733699E-002	1.000000000000000E+000	-5.6995857E-005	3.8143629E-001	6.8039262E-005	-1.3422874E+000
2	1	0	0	0	7.509999810281442E-001	-9.5948684E-001	-9.5980257E-001	-7.041959284106236E-002	1.000000000000000E+000	-5.8407808E-005	3.8511392E-001	6.7588910E-005	-1.3449165E+000
2	1	0	0	0	7.709999805229018E-001	-9.5848662E-001	-9.5882398E-001	-6.998566409391860E-002	1.000000000000000E+000	-5.9811384E-005	3.8870496E-001	6.7103931E-005	-1.3475289E+000
2	1	0	0	0	7.910999800151330E-001	-9.5748633E-001	-9.5783287E-001	-6.965343098816268E-002	1.000000000000000E+000	-6.1214392E-005	3.9147288E-001	6.6716348E-005	-1.3493057E+000
2	1	0	1	0	8.111999795073643E-001	-9.5648617E-001	-9.5681882E-001	-6.937308588789556E-002	1.000000000000000E+000	-6.2611274E-005	3.9340016E-001	6.6377477E-005	-1.3502190E+000
2	1	0	1	0	8.311999790021218E-001	-9.5548588E-001	-9.5585501E-001	-6.917578822079407E-002	1.000000000000000E+000	-6.3996289E-005	3.9487666E-001	6.6122026E-005	-1.3507316E+000
2	1	0	1	0	8.511999784968793E-001	-9.5448565E-001	-9.5480746E-001	-6.910745882325692E-002	1.000000000000000E+000	-6.5378576E-005	3.9562356E-001	6.5984314E-005	-1.3504310E+000
2	1	0	1	0	8.711999779916368E-001	-9.5348543E-001	-9.5382982E-001	-6.895197284433763E-002	1.000000000000000E+000	-6.6758897E-005	3.9701843E-001	6.5768450E-005	-1.3508482E+000
2	1	0	1	0	8.911999774863943E-001	-9.5248520E-001	-9.5287549E-001	-6.866310084135163E-002	1.000000000000000E+000	-6.8134796E-005	3.9840275E-001	6.5427383E-005	-1.3512783E+000
2	1	0	1	0	9.111999769811518E-001	-9.5148492E-001	-9.5188415E-001	-6.831278631256683E-002	1.000000000000000E+000	-6.9504298E-005	3.9981222E-001	6.5025859E-005	-1.3516964E+000
2	1	0	1	0	9.311999764759094E-001	-9.5048469E-001	-9.5089388E-001	-6.800481942223580E-002	1.000000000000000E+000	-7.0867034E-005	4.0102479E-001	6.4665364E-005	-1.3519187E+000
2	1	0	1	0	9.511999759706669E-001	-9.4948447E-001	-9.4983244E-001	-6.765344629012449E-002	1.000000000000000E+000	-7.2223040E-005	4.0244856E-001	6.4259439E-005	-1.3522810E+000
