EC-Lab ASCII FILE
Nb header lines  58                          

Cyclic Voltammetry

Run on channel  3 (SN 35515)
User  
CE vs. WE compliance from -10 V to 10 V
Electrode connection  standard
Ewe ctrl range  min = -2.50 V, max = 2.50 V
Safety Limits 
	Do not start on E overload
Acquisition started on  03112020 151016
Technique started on  03112020 151016
Saved on 
	File  03112020_MnO2_RDE_50mVs_2500rpm_ExtendedBounds_120mL_counter_C04_C03.mpr
	Directory  CUsersCESLDocumentsEC-LabDataUndergradKatelynEChem20200311
	Host  169.254.217.189
Device  VSP (SN 1724172417241724)
Address  USB
EC-Lab for windows v11.16 (software)
Internet server v11.16 (firmware)
Command interpretor v11.16 (firmware)
Electrode material  AuPd
Initial state  
Electrolyte  NaCl (0.2M)
Comments  Fe(CN)63-Fe(CN)64- 5.10-3 M
Reference electrode  SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area  0.001 cm²
Characteristic mass  0.001 g
Equivalent Weight  0.000 geq.
Density  0.000 gcm3
Record Ece
Record Power
Cycle Definition  ChargeDischarge alternance
Ei (V)              -1.000              
vs.                 Ref                 
dEdt               50.000              
dEdt unit          mVs                
E1 (V)              1.200               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              -2.000              
vs.                 Ref                 
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              -1.000              
vs.                 Ref                 

mode	oxred	error	control changes	counter inc.	times	controlV	EweV	ImA	cycle number	(Q-Qo)C	EceV	PW	Ewe-EceV	
2	0	0	1	0	9.980079747881973E+001	-1.5930361E+000	-1.5933332E+000	-1.578831032254833E-001	1.000000000000000E+000	-2.2655516E-003	1.1494820E+000	2.5156041E-004	-2.7428153E+000
2	0	0	1	0	9.982079747831449E+001	-1.5940362E+000	-1.5943619E+000	-1.579094388418718E-001	1.000000000000000E+000	-2.2687099E-003	1.1516770E+000	2.5176478E-004	-2.7460389E+000
2	0	0	0	0	9.984099747780419E+001	-1.5950365E+000	-1.5953139E+000	-1.580005924786541E-001	1.000000000000000E+000	-2.2719011E-003	1.1518974E+000	2.5206053E-004	-2.7472115E+000
2	0	0	0	0	9.986099747729895E+001	-1.5960368E+000	-1.5963140E+000	-1.582020374609985E-001	1.000000000000000E+000	-2.2750637E-003	1.1512356E+000	2.5254011E-004	-2.7475495E+000
2	0	0	0	0	9.988099747679371E+001	-1.5970370E+000	-1.5973496E+000	-1.586287118391017E-001	1.000000000000000E+000	-2.2782320E-003	1.1487467E+000	2.5338551E-004	-2.7460964E+000
2	0	0	0	0	9.990099747628847E+001	-1.5980372E+000	-1.5983254E+000	-1.589890092533695E-001	1.000000000000000E+000	-2.2814083E-003	1.1469002E+000	2.5411617E-004	-2.7452254E+000
2	0	0	0	0	9.992099747578322E+001	-1.5990374E+000	-1.5993559E+000	-1.589488721219818E-001	1.000000000000000E+000	-2.2845881E-003	1.1464158E+000	2.5421582E-004	-2.7457719E+000
2	0	0	0	0	9.994099747527798E+001	-1.6000377E+000	-1.6003271E+000	-1.589165221537567E-001	1.000000000000000E+000	-2.2877671E-003	1.1462989E+000	2.5431841E-004	-2.7466259E+000
2	0	0	0	0	9.996099747477274E+001	-1.6010379E+000	-1.6013240E+000	-1.587099600195263E-001	1.000000000000000E+000	-2.2909436E-003	1.1469040E+000	2.5414606E-004	-2.7482281E+000
2	0	0	0	0	9.998099747426750E+001	-1.6020381E+000	-1.6023353E+000	-1.584880787025517E-001	1.000000000000000E+000	-2.2941160E-003	1.1475501E+000	2.5395106E-004	-2.7498856E+000
2	0	0	0	0	1.000009974737623E+002	-1.6030384E+000	-1.6033331E+000	-1.584409536638605E-001	1.000000000000000E+000	-2.2972855E-003	1.1513157E+000	2.5403363E-004	-2.7546487E+000
2	0	0	0	0	1.000209974732570E+002	-1.6040386E+000	-1.6043204E+000	-1.582731926658503E-001	1.000000000000000E+000	-2.3004524E-003	1.1566828E+000	2.5392091E-004	-2.7610033E+000
2	0	0	0	0	1.000409974727518E+002	-1.6050389E+000	-1.6053478E+000	-1.580350538068959E-001	1.000000000000000E+000	-2.3036157E-003	1.1575972E+000	2.5370123E-004	-2.7629449E+000
2	0	0	0	0	1.000609974722465E+002	-1.6060390E+000	-1.6063200E+000	-1.580560034296166E-001	1.000000000000000E+000	-2.3067766E-003	1.1564645E+000	2.5388852E-004	-2.7627845E+000
2	0	0	0	0	1.000809974717413E+002	-1.6070393E+000	-1.6073283E+000	-1.584885158938247E-001	1.000000000000000E+000	-2.3099426E-003	1.1554017E+000	2.5474306E-004	-2.7627301E+000
2	0	0	0	0	1.001009974712360E+002	-1.6080396E+000	-1.6083387E+000	-1.591407013798340E-001	1.000000000000000E+000	-2.3131194E-003	1.1528128E+000	2.5595215E-004	-2.7611516E+000
2	0	0	0	0	1.001209974707308E+002	-1.6090397E+000	-1.6092911E+000	-1.592731166165317E-001	1.000000000000000E+000	-2.3163038E-003	1.1507823E+000	2.5631679E-004	-2.7600734E+000
2	0	0	0	0	1.001409974702256E+002	-1.6100401E+000	-1.6102911E+000	-1.594196709079871E-001	1.000000000000000E+000	-2.3194908E-003	1.1505831E+000	2.5671208E-004	-2.7608743E+000
2	0	0	0	0	1.001609974697203E+002	-1.6110402E+000	-1.6113311E+000	-1.594163971280476E-001	1.000000000000000E+000	-2.3226794E-003	1.1508955E+000	2.5687259E-004	-2.7622266E+000
2	0	0	0	0	1.001809974692151E+002	-1.6120405E+000	-1.6123374E+000	-1.593121912770172E-001	1.000000000000000E+000	-2.3258671E-003	1.1512091E+000	2.5686499E-004	-2.7635465E+000
2	0	0	0	0	1.002009974687098E+002	-1.6130408E+000	-1.6132959E+000	-1.591226698106358E-001	1.000000000000000E+000	-2.3290520E-003	1.1527179E+000	2.5671197E-004	-2.7660139E+000
2	0	0	0	0	1.002209974682046E+002	-1.6140409E+000	-1.6143275E+000	-1.589071553122867E-001	1.000000000000000E+000	-2.3322324E-003	1.1581326E+000	2.5652820E-004	-2.7724600E+000
2	0	0	0	0	1.002409974676993E+002	-1.6150413E+000	-1.6153201E+000	-1.588784313450253E-001	1.000000000000000E+000	-2.3354106E-003	1.1626769E+000	2.5663953E-004	-2.7779970E+000
2	0	0	0	0	1.002609974671941E+002	-1.6160414E+000	-1.6163030E+000	-1.588037350577198E-001	1.000000000000000E+000	-2.3385873E-003	1.1626432E+000	2.5667495E-004	-2.7789462E+000
2	0	0	0	0	1.002809974666889E+002	-1.6170416E+000	-1.6173346E+000	-1.588588892482217E-001	1.000000000000000E+000	-2.3417643E-003	1.1620480E+000	2.5692797E-004	-2.7793827E+000
2	0	0	0	0	1.003009974661836E+002	-1.6180420E+000	-1.6182867E+000	-1.590315238831357E-001	1.000000000000000E+000	-2.3449434E-003	1.1602414E+000	2.5735860E-004	-2.7785282E+000
2	0	0	0	0	1.003209974656784E+002	-1.6190422E+000	-1.6193237E+000	-1.595893063867040E-001	1.000000000000000E+000	-2.3481301E-003	1.1559014E+000	2.5842676E-004	-2.7752252E+000
2	0	0	0	0	1.003409974651731E+002	-1.6200424E+000	-1.6203110E+000	-1.598736669014516E-001	1.000000000000000E+000	-2.3513252E-003	1.1546112E+000	2.5904507E-004	-2.7749224E+000
2	0	0	0	0	1.003609974646679E+002	-1.6210426E+000	-1.6213076E+000	-1.597894239239390E-001	1.000000000000000E+000	-2.3545222E-003	1.1541207E+000	2.5906781E-004	-2.7754283E+000
2	0	0	0	0	1.003809974641626E+002	-1.6220428E+000	-1.6223086E+000	-1.595860322833893E-001	1.000000000000000E+000	-2.3577160E-003	1.1544724E+000	2.5889778E-004	-2.7767811E+000
2	0	0	0	0	1.004009974636574E+002	-1.6230431E+000	-1.6232958E+000	-1.594317882425251E-001	1.000000000000000E+000	-2.3609062E-003	1.1552312E+000	2.5880494E-004	-2.7785270E+000
2	0	0	0	0	1.004209974631522E+002	-1.6240433E+000	-1.6243082E+000	-1.592240477136024E-001	1.000000000000000E+000	-2.3640932E-003	1.1594508E+000	2.5862892E-004	-2.7837591E+000
2	0	0	0	0	1.004409974626469E+002	-1.6250435E+000	-1.6252944E+000	-1.589796440546505E-001	1.000000000000000E+000	-2.3672755E-003	1.1646687E+000	2.5838873E-004	-2.7899632E+000
2	0	0	0	0	1.004609974621417E+002	-1.6260438E+000	-1.6263092E+000	-1.588954062123469E-001	1.000000000000000E+000	-2.3704546E-003	1.1672199E+000	2.5841306E-004	-2.7935290E+000
2	0	0	0	0	1.004809974616364E+002	-1.6270441E+000	-1.6273059E+000	-1.590732602117995E-001	1.000000000000000E+000	-2.3736344E-003	1.1665434E+000	2.5886085E-004	-2.7938492E+000
2	0	0	0	0	1.005009974611312E+002	-1.6280442E+000	-1.6282918E+000	-1.593586752294662E-001	1.000000000000000E+000	-2.3768188E-003	1.1647189E+000	2.5948245E-004	-2.7930107E+000
2	0	0	0	0	1.005209974606259E+002	-1.6290445E+000	-1.6292664E+000	-1.602350322322711E-001	1.000000000000000E+000	-2.3800151E-003	1.1614205E+000	2.6106555E-004	-2.7906868E+000
2	0	0	0	0	1.005409974601207E+002	-1.6300447E+000	-1.6303310E+000	-1.604021880258291E-001	1.000000000000000E+000	-2.3832221E-003	1.1591473E+000	2.6150869E-004	-2.7894783E+000
2	0	0	0	0	1.005609974596155E+002	-1.6310450E+000	-1.6313201E+000	-1.603004463379163E-001	1.000000000000000E+000	-2.3864296E-003	1.1585027E+000	2.6150135E-004	-2.7898228E+000
2	0	0	0	0	1.005809974591102E+002	-1.6320453E+000	-1.6323019E+000	-1.600712332357128E-001	1.000000000000000E+000	-2.3896336E-003	1.1577963E+000	2.6128459E-004	-2.7900982E+000
2	0	0	0	0	1.006009974586050E+002	-1.6330454E+000	-1.6333232E+000	-1.598579412481431E-001	1.000000000000000E+000	-2.3928327E-003	1.1577526E+000	2.6109969E-004	-2.7910757E+000
2	0	0	0	0	1.006209974580997E+002	-1.6340457E+000	-1.6343230E+000	-1.597076593898237E-001	1.000000000000000E+000	-2.3960283E-003	1.1599295E+000	2.6101392E-004	-2.7942524E+000
2	0	0	0	0	1.006409974575945E+002	-1.6350460E+000	-1.6352975E+000	-1.595932791501062E-001	1.000000000000000E+000	-2.3992215E-003	1.1650703E+000	2.6098252E-004	-2.8003678E+000
2	0	0	0	0	1.006609974570893E+002	-1.6360462E+000	-1.6363621E+000	-1.596715932116946E-001	1.000000000000000E+000	-2.4024146E-003	1.1697093E+000	2.6128054E-004	-2.8060713E+000
2	0	0	0	0	1.006810974565815E+002	-1.6370486E+000	-1.6373141E+000	-1.597212698899089E-001	1.000000000000000E+000	-2.4056248E-003	1.1705469E+000	2.6151389E-004	-2.8078609E+000
2	0	0	1	0	1.007011974560737E+002	-1.6380466E+000	-1.6382918E+000	-1.598537765934855E-001	1.000000000000000E+000	-2.4088370E-003	1.1702397E+000	2.6188712E-004	-2.8085315E+000
2	0	0	1	0	1.007211974555685E+002	-1.6390469E+000	-1.6393288E+000	-1.601455656992680E-001	1.000000000000000E+000	-2.4120372E-003	1.1681461E+000	2.6253125E-004	-2.8074751E+000
2	0	0	1	0	1.007411974550632E+002	-1.6400472E+000	-1.6404136E+000	-1.605863140688992E-001	1.000000000000000E+000	-2.4152449E-003	1.1645602E+000	2.6342797E-004	-2.8049738E+000
2	0	0	1	0	1.007611974545580E+002	-1.6410474E+000	-1.6413954E+000	-1.605540498211553E-001	1.000000000000000E+000	-2.4184566E-003	1.1637157E+000	2.6353268E-004	-2.8051112E+000
2	0	0	1	0	1.007811974540527E+002	-1.6420475E+000	-1.6423794E+000	-1.604527386112345E-001	1.000000000000000E+000	-2.4216671E-003	1.1635605E+000	2.6352427E-004	-2.8059399E+000
2	0	0	1	0	1.008011974535475E+002	-1.6430479E+000	-1.6433812E+000	-1.604020935871331E-001	1.000000000000000E+000	-2.4248762E-003	1.1633441E+000	2.6360177E-004	-2.8067255E+000
2	0	0	1	0	1.008211974530423E+002	-1.6440480E+000	-1.6443877E+000	-1.604347104051462E-001	1.000000000000000E+000	-2.4280851E-003	1.1637948E+000	2.6381685E-004	-2.8081825E+000
2	0	0	1	0	1.008411974525370E+002	-1.6450484E+000	-1.6453577E+000	-1.603296084924490E-001	1.000000000000000E+000	-2.4312930E-003	1.1662579E+000	2.6379956E-004	-2.8116155E+000
2	0	0	1	0	1.008611974520318E+002	-1.6460485E+000	-1.6463599E+000	-1.601184319264978E-001	1.000000000000000E+000	-2.4344975E-003	1.1719006E+000	2.6361257E-004	-2.8182607E+000
2	0	0	1	0	1.008811974515265E+002	-1.6470487E+000	-1.6473459E+000	-1.600066177650459E-001	1.000000000000000E+000	-2.4376989E-003	1.1755651E+000	2.6358623E-004	-2.8229110E+000
2	0	0	1	0	1.009011974510213E+002	-1.6480491E+000	-1.6483351E+000	-1.600741506554191E-001	1.000000000000000E+000	-2.4408998E-003	1.1751889E+000	2.6385582E-004	-2.8235240E+000
2	0	0	1	0	1.009211974505160E+002	-1.6490492E+000	-1.6493224E+000	-1.602535991179238E-001	1.000000000000000E+000	-2.4441038E-003	1.1740499E+000	2.6430984E-004	-2.8233724E+000
2	0	0	1	0	1.009411974500108E+002	-1.6500494E+000	-1.6503614E+000	-1.607359632358160E-001	1.000000000000000E+000	-2.4473141E-003	1.1699667E+000	2.6527242E-004	-2.8203282E+000
2	0	0	1	0	1.009611974495056E+002	-1.6510497E+000	-1.6513855E+000	-1.611837654167578E-001	1.000000000000000E+000	-2.4505339E-003	1.1670331E+000	2.6617653E-004	-2.8184185E+000
2	0	0	1	0	1.009811974490003E+002	-1.6520498E+000	-1.6523952E+000	-1.610631973793104E-001	1.000000000000000E+000	-2.4537565E-003	1.1662632E+000	2.6614006E-004	-2.8186584E+000
2	0	0	1	0	1.010011974484951E+002	-1.6530502E+000	-1.6533940E+000	-1.608507877293346E-001	1.000000000000000E+000	-2.4569759E-003	1.1657523E+000	2.6594973E-004	-2.8191462E+000
2	0	0	1	0	1.010211974479898E+002	-1.6540504E+000	-1.6544033E+000	-1.606682587492587E-001	1.000000000000000E+000	-2.4601910E-003	1.1663578E+000	2.6581009E-004	-2.8207612E+000
2	0	0	1	0	1.010411974474846E+002	-1.6550506E+000	-1.6553811E+000	-1.604887146968399E-001	1.000000000000000E+000	-2.4634032E-003	1.1673151E+000	2.6566998E-004	-2.8226962E+000
2	0	0	1	0	1.010611974469794E+002	-1.6560509E+000	-1.6563680E+000	-1.602734839026301E-001	1.000000000000000E+000	-2.4666111E-003	1.1712408E+000	2.6547187E-004	-2.8276088E+000
2	0	0	1	0	1.010811974464741E+002	-1.6570511E+000	-1.6573299E+000	-1.603004465836821E-001	1.000000000000000E+000	-2.4698169E-003	1.1764494E+000	2.6567074E-004	-2.8337793E+000
2	0	0	1	0	1.011011974459689E+002	-1.6580513E+000	-1.6583869E+000	-1.602955734512459E-001	1.000000000000000E+000	-2.4730230E-003	1.1773443E+000	2.6583209E-004	-2.8357313E+000
2	0	0	1	0	1.011211974454636E+002	-1.6590515E+000	-1.6593190E+000	-1.602932813241039E-001	1.000000000000000E+000	-2.4762291E-003	1.1760978E+000	2.6597769E-004	-2.8354168E+000
2	0	0	1	0	1.011411974449584E+002	-1.6600517E+000	-1.6603867E+000	-1.603671792092631E-001	1.000000000000000E+000	-2.4794361E-003	1.1751390E+000	2.6627153E-004	-2.8355255E+000
2	0	0	1	0	1.011611974444531E+002	-1.6610520E+000	-1.6613526E+000	-1.609641147078940E-001	1.000000000000000E+000	-2.4826499E-003	1.1721554E+000	2.6741816E-004	-2.8335080E+000
2	0	0	1	0	1.011811974439479E+002	-1.6620523E+000	-1.6623209E+000	-1.612582893317764E-001	1.000000000000000E+000	-2.4858729E-003	1.1702340E+000	2.6806301E-004	-2.8325548E+000
2	0	0	1	0	1.012011974434427E+002	-1.6630524E+000	-1.6633377E+000	-1.611955250587518E-001	1.000000000000000E+000	-2.4890976E-003	1.1697310E+000	2.6812262E-004	-2.8330688E+000
2	0	0	1	0	1.012211974429374E+002	-1.6640527E+000	-1.6643544E+000	-1.611908435071294E-001	1.000000000000000E+000	-2.4923217E-003	1.1702104E+000	2.6827867E-004	-2.8345647E+000
2	0	0	1	0	1.012411974424322E+002	-1.6650530E+000	-1.6654052E+000	-1.611446174922289E-001	1.000000000000000E+000	-2.4955452E-003	1.1704980E+000	2.6837108E-004	-2.8359032E+000
2	0	0	1	0	1.012611974419269E+002	-1.6660532E+000	-1.6663554E+000	-1.610633732957961E-001	1.000000000000000E+000	-2.4987678E-003	1.1715858E+000	2.6838883E-004	-2.8379412E+000
2	0	0	1	0	1.012811974414217E+002	-1.6670535E+000	-1.6673456E+000	-1.609975240296780E-001	1.000000000000000E+000	-2.5019888E-003	1.1766665E+000	2.6843851E-004	-2.8440123E+000
2	0	0	1	0	1.013011974409164E+002	-1.6680536E+000	-1.6683815E+000	-1.608125072671101E-001	1.000000000000000E+000	-2.5052072E-003	1.1806977E+000	2.6829660E-004	-2.8490791E+000
2	0	0	1	0	1.013211974404112E+002	-1.6690539E+000	-1.6693368E+000	-1.608149842229776E-001	1.000000000000000E+000	-2.5084240E-003	1.1808319E+000	2.6845437E-004	-2.8501687E+000
2	0	0	1	0	1.013411974399060E+002	-1.6700542E+000	-1.6703578E+000	-1.608730712258770E-001	1.000000000000000E+000	-2.5116410E-003	1.1799080E+000	2.6871558E-004	-2.8502660E+000
2	0	0	1	0	1.013611974394007E+002	-1.6710544E+000	-1.6713737E+000	-1.611031584389914E-001	1.000000000000000E+000	-2.5148611E-003	1.1784115E+000	2.6926358E-004	-2.8497853E+000
2	0	0	1	0	1.013811974388955E+002	-1.6720546E+000	-1.6723758E+000	-1.617573669775281E-001	1.000000000000000E+000	-2.5180904E-003	1.1749811E+000	2.7051911E-004	-2.8473568E+000
2	0	0	1	0	1.014011974383902E+002	-1.6730548E+000	-1.6733491E+000	-1.617618699092418E-001	1.000000000000000E+000	-2.5213263E-003	1.1738164E+000	2.7068408E-004	-2.8471656E+000
2	0	0	1	0	1.014211974378850E+002	-1.6740551E+000	-1.6743449E+000	-1.614665493705409E-001	1.000000000000000E+000	-2.5245587E-003	1.1734881E+000	2.7035069E-004	-2.8478332E+000
2	0	0	1	0	1.014411974373797E+002	-1.6750553E+000	-1.6753756E+000	-1.612538679554644E-001	1.000000000000000E+000	-2.5277860E-003	1.1734922E+000	2.7016079E-004	-2.8488679E+000
2	0	0	1	0	1.014611974368745E+002	-1.6760556E+000	-1.6763827E+000	-1.612919754891964E-001	1.000000000000000E+000	-2.5310114E-003	1.1735708E+000	2.7038707E-004	-2.8499534E+000
2	0	0	1	0	1.014811974363693E+002	-1.6770557E+000	-1.6773634E+000	-1.612404275607935E-001	1.000000000000000E+000	-2.5342370E-003	1.1762688E+000	2.7045878E-004	-2.8536322E+000
2	0	0	1	0	1.015011974358640E+002	-1.6780560E+000	-1.6783676E+000	-1.611570840468621E-001	1.000000000000000E+000	-2.5374612E-003	1.1814598E+000	2.7048084E-004	-2.8598275E+000
2	0	0	1	0	1.015211974353588E+002	-1.6790563E+000	-1.6793631E+000	-1.610723033599144E-001	1.000000000000000E+000	-2.5406838E-003	1.1839085E+000	2.7049889E-004	-2.8632717E+000
2	0	0	1	0	1.015412974348510E+002	-1.6800543E+000	-1.6803725E+000	-1.610448333920886E-001	1.000000000000000E+000	-2.5439213E-003	1.1836065E+000	2.7061530E-004	-2.8639789E+000
2	0	0	0	0	1.015613974343432E+002	-1.6810566E+000	-1.6813873E+000	-1.612666788924892E-001	1.000000000000000E+000	-2.5471607E-003	1.1833155E+000	2.7115174E-004	-2.8647027E+000
2	0	0	0	0	1.015813974338380E+002	-1.6820569E+000	-1.6823714E+000	-1.618790941105941E-001	1.000000000000000E+000	-2.5503922E-003	1.1809889E+000	2.7234075E-004	-2.8633604E+000
2	0	0	0	0	1.016013974333328E+002	-1.6830571E+000	-1.6833510E+000	-1.621275606772143E-001	1.000000000000000E+000	-2.5536327E-003	1.1794487E+000	2.7291759E-004	-2.8627996E+000
2	0	0	0	0	1.016213974328275E+002	-1.6840575E+000	-1.6843542E+000	-1.618865152639850E-001	1.000000000000000E+000	-2.5568733E-003	1.1780899E+000	2.7267422E-004	-2.8624439E+000
2	0	0	0	0	1.016413974323223E+002	-1.6850576E+000	-1.6853604E+000	-1.616722477806937E-001	1.000000000000000E+000	-2.5601091E-003	1.1777269E+000	2.7247600E-004	-2.8630872E+000
2	0	0	0	0	1.016613974318170E+002	-1.6860578E+000	-1.6863601E+000	-1.616557127951330E-001	1.000000000000000E+000	-2.5633427E-003	1.1784427E+000	2.7260973E-004	-2.8648028E+000
2	0	0	0	0	1.016813974313118E+002	-1.6870582E+000	-1.6873496E+000	-1.615987887036878E-001	1.000000000000000E+000	-2.5665753E-003	1.1795752E+000	2.7267364E-004	-2.8669248E+000
2	0	0	0	0	1.017013974308065E+002	-1.6880583E+000	-1.6882995E+000	-1.614206745806666E-001	1.000000000000000E+000	-2.5698054E-003	1.1839571E+000	2.7252643E-004	-2.8722568E+000
2	0	0	0	0	1.017213974303013E+002	-1.6890585E+000	-1.6893557E+000	-1.612505173931520E-001	1.000000000000000E+000	-2.5730322E-003	1.1887163E+000	2.7240950E-004	-2.8780720E+000
2	0	0	0	0	1.017413974297961E+002	-1.6900588E+000	-1.6903961E+000	-1.612246163551589E-001	1.000000000000000E+000	-2.5762573E-003	1.1891881E+000	2.7253345E-004	-2.8795843E+000
2	0	0	0	0	1.017613974292908E+002	-1.6910590E+000	-1.6913724E+000	-1.613421679681371E-001	1.000000000000000E+000	-2.5794837E-003	1.1885451E+000	2.7288971E-004	-2.8799176E+000
2	0	0	0	0	1.017813974287856E+002	-1.6920594E+000	-1.6923267E+000	-1.616095735743223E-001	1.000000000000000E+000	-2.5827137E-003	1.1884181E+000	2.7349620E-004	-2.8807449E+000
2	0	0	0	0	1.018013974282803E+002	-1.6930594E+000	-1.6933383E+000	-1.623365261410872E-001	1.000000000000000E+000	-2.5859533E-003	1.1858338E+000	2.7489066E-004	-2.8791721E+000
2	0	0	0	0	1.018213974277751E+002	-1.6940597E+000	-1.6943678E+000	-1.626484706583942E-001	1.000000000000000E+000	-2.5892037E-003	1.1828043E+000	2.7558632E-004	-2.8771720E+000
2	0	0	0	0	1.018413974272698E+002	-1.6950600E+000	-1.6953869E+000	-1.625704308713054E-001	1.000000000000000E+000	-2.5924561E-003	1.1817943E+000	2.7561976E-004	-2.8771811E+000
2	0	0	0	0	1.018613974267646E+002	-1.6960602E+000	-1.6963824E+000	-1.624109610113207E-001	1.000000000000000E+000	-2.5957064E-003	1.1829963E+000	2.7551109E-004	-2.8793788E+000
2	0	0	0	0	1.018813974262594E+002	-1.6970605E+000	-1.6973674E+000	-1.622159566678518E-001	1.000000000000000E+000	-2.5989530E-003	1.1842426E+000	2.7534011E-004	-2.8816099E+000
2	0	0	0	0	1.019013974257541E+002	-1.6980608E+000	-1.6983439E+000	-1.620749704565645E-001	1.000000000000000E+000	-2.6021961E-003	1.1865729E+000	2.7525902E-004	-2.8849168E+000
2	0	0	0	0	1.019213974252489E+002	-1.6990608E+000	-1.6993685E+000	-1.619443176960984E-001	1.000000000000000E+000	-2.6054364E-003	1.1920888E+000	2.7520306E-004	-2.8914573E+000
2	0	0	0	0	1.019413974247436E+002	-1.7000612E+000	-1.7003480E+000	-1.618804133548917E-001	1.000000000000000E+000	-2.6086743E-003	1.1956786E+000	2.7525306E-004	-2.8960266E+000
2	0	0	0	0	1.019613974242384E+002	-1.7010614E+000	-1.7013278E+000	-1.617420662660152E-001	1.000000000000000E+000	-2.6119107E-003	1.1950305E+000	2.7517625E-004	-2.8963583E+000
2	0	0	0	0	1.019813974237331E+002	-1.7020615E+000	-1.7023491E+000	-1.618201267750308E-001	1.000000000000000E+000	-2.6151466E-003	1.1935456E+000	2.7547433E-004	-2.8958945E+000
2	0	0	0	0	1.020013974232279E+002	-1.7030619E+000	-1.7033594E+000	-1.623398871549093E-001	1.000000000000000E+000	-2.6183887E-003	1.1919090E+000	2.7652315E-004	-2.8952684E+000
2	0	0	0	0	1.020213974227227E+002	-1.7040620E+000	-1.7043253E+000	-1.630216857237323E-001	1.000000000000000E+000	-2.6216435E-003	1.1884904E+000	2.7784199E-004	-2.8928156E+000
2	0	0	0	0	1.020413974222174E+002	-1.7050624E+000	-1.7053739E+000	-1.630058602378183E-001	1.000000000000000E+000	-2.6249040E-003	1.1873434E+000	2.7798594E-004	-2.8927174E+000
2	0	0	0	0	1.020613974217122E+002	-1.7060626E+000	-1.7063769E+000	-1.628971345231136E-001	1.000000000000000E+000	-2.6281630E-003	1.1874778E+000	2.7796393E-004	-2.8938546E+000
2	0	0	0	0	1.020813974212069E+002	-1.7070627E+000	-1.7073802E+000	-1.626608473015940E-001	1.000000000000000E+000	-2.6314186E-003	1.1869413E+000	2.7772391E-004	-2.8943214E+000
2	0	0	0	0	1.021013974207017E+002	-1.7080631E+000	-1.7083620E+000	-1.625461231839527E-001	1.000000000000000E+000	-2.6346708E-003	1.1875464E+000	2.7768762E-004	-2.8959084E+000
2	0	0	0	0	1.021213974201964E+002	-1.7090633E+000	-1.7093852E+000	-1.624220160948525E-001	1.000000000000000E+000	-2.6379209E-003	1.1906916E+000	2.7764178E-004	-2.9000769E+000
2	0	0	0	0	1.021413974196912E+002	-1.7100635E+000	-1.7103649E+000	-1.622435346297495E-001	1.000000000000000E+000	-2.6411680E-003	1.1961756E+000	2.7749565E-004	-2.9065404E+000
2	0	0	0	0	1.021613974191860E+002	-1.7110637E+000	-1.7113551E+000	-1.622811999534148E-001	1.000000000000000E+000	-2.6444134E-003	1.1986154E+000	2.7772077E-004	-2.9099705E+000
2	0	0	0	0	1.021813974186807E+002	-1.7120639E+000	-1.7123868E+000	-1.622384901986347E-001	1.000000000000000E+000	-2.6476586E-003	1.1979086E+000	2.7781507E-004	-2.9102955E+000
2	0	0	0	0	1.022013974181755E+002	-1.7130642E+000	-1.7133296E+000	-1.624969685217360E-001	1.000000000000000E+000	-2.6509059E-003	1.1974792E+000	2.7841085E-004	-2.9108088E+000
2	0	0	0	0	1.022213974176702E+002	-1.7140644E+000	-1.7143643E+000	-1.629852599904149E-001	1.000000000000000E+000	-2.6541613E-003	1.1940266E+000	2.7941613E-004	-2.9083910E+000
2	0	0	0	0	1.022413974171650E+002	-1.7150646E+000	-1.7153834E+000	-1.634516369085750E-001	1.000000000000000E+000	-2.6574265E-003	1.1907541E+000	2.8038223E-004	-2.9061375E+000
2	0	0	0	0	1.022613974166597E+002	-1.7160648E+000	-1.7163514E+000	-1.633015428540389E-001	1.000000000000000E+000	-2.6606945E-003	1.1893374E+000	2.8028284E-004	-2.9056888E+000
2	0	0	0	0	1.022813974161545E+002	-1.7170652E+000	-1.7173724E+000	-1.632645971581552E-001	1.000000000000000E+000	-2.6639602E-003	1.1896595E+000	2.8038613E-004	-2.9070320E+000
2	0	0	0	0	1.023013974156493E+002	-1.7180654E+000	-1.7183893E+000	-1.630959303713291E-001	1.000000000000000E+000	-2.6672238E-003	1.1907046E+000	2.8026232E-004	-2.9090939E+000
2	0	0	0	0	1.023213974151440E+002	-1.7190655E+000	-1.7193617E+000	-1.629439798933965E-001	1.000000000000000E+000	-2.6704844E-003	1.1929876E+000	2.8015961E-004	-2.9123492E+000
2	0	0	0	0	1.023413974146388E+002	-1.7200658E+000	-1.7203901E+000	-1.628081180905503E-001	1.000000000000000E+000	-2.6737421E-003	1.1982977E+000	2.8009349E-004	-2.9186878E+000
2	0	0	0	0	1.023613974141335E+002	-1.7210660E+000	-1.7213582E+000	-1.627918580262397E-001	1.000000000000000E+000	-2.6769985E-003	1.2020388E+000	2.8022312E-004	-2.9233971E+000
